K,Triton,cuBLAS,cuTLASS
256.000000,3.282095,2.223350,2.197337
512.000000,3.452180,3.129819,3.597670
768.000000,5.071692,4.199210,5.950832
1024.000000,6.864174,5.488440,7.254371
1280.000000,8.803576,6.973168,10.524288
1536.000000,10.357756,8.413157,11.646951
1792.000000,12.270241,10.137936,14.161140
2048.000000,13.785909,10.835979,14.531803
2304.000000,15.680794,14.193563,17.687584
2560.000000,17.370617,17.770731,20.538103
2816.000000,18.982769,19.894871,20.644711
3072.000000,20.649464,20.949472,24.259829
3328.000000,22.308662,21.715879,25.722528
3584.000000,24.402550,24.311159,28.439936
3840.000000,26.084948,26.711252,29.826410
4096.000000,27.367380,27.891724,32.015423
4352.000000,29.150240,29.577484,40.205173
4608.000000,30.870035,32.053642,44.234161
4864.000000,32.913422,30.456320,49.308224
5120.000000,34.726318,30.257025,50.556206
5376.000000,36.006336,33.897778,50.450302
5632.000000,37.938416,35.828735,48.553375
5888.000000,39.724705,38.889999,51.585026
6144.000000,41.262192,40.677711,50.579456
6400.000000,43.528992,43.160400,56.828129
6656.000000,45.253395,46.007198,56.316734
6912.000000,47.332497,46.303490,57.236736
7168.000000,49.578590,54.610271,59.696896
7424.000000,51.101696,50.725792,61.961952
7680.000000,53.514271,47.504097,71.292542
7936.000000,58.314785,54.394878,68.429344
8192.000000,59.348896,53.180191,71.877022
