K,Triton,cuBLAS,cuTLASS
256.000000,1.960241,1.858914,2.088248
512.000000,3.650382,3.583561,3.864542
768.000000,5.919438,4.784308,6.332202
1024.000000,7.304442,6.196920,8.688237
1280.000000,9.214724,7.762902,11.950344
1536.000000,10.990313,9.439312,13.624375
1792.000000,12.729707,11.923228,14.836782
2048.000000,14.197235,12.827374,15.760353
2304.000000,16.232428,15.926566,19.380312
2560.000000,18.205456,19.642809,22.649830
2816.000000,19.696766,20.755592,23.706816
3072.000000,21.749472,22.513351,26.669077
3328.000000,23.778368,25.123991,28.503798
3584.000000,25.927147,26.821695,31.548876
3840.000000,26.678932,28.632853,34.864208
4096.000000,28.237259,30.262270,37.342079
4352.000000,30.149248,31.056351,48.474174
4608.000000,31.626272,32.576015,61.106018
4864.000000,33.707920,31.806038,44.535744
5120.000000,35.467506,31.247316,42.852127
5376.000000,36.947937,34.213200,50.316418
5632.000000,38.447136,36.193695,46.607040
5888.000000,40.207199,43.582607,49.515423
6144.000000,41.547104,41.822083,48.684834
6400.000000,43.705616,42.567535,57.843742
6656.000000,45.133247,43.619789,54.405087
6912.000000,46.683311,50.683903,57.024929
7168.000000,48.582878,46.644833,58.600159
7424.000000,50.402847,51.701855,59.387905
7680.000000,51.506657,46.383537,67.150528
7936.000000,52.898079,51.790081,61.747009
8192.000000,58.429474,50.239487,63.485920
