K,Triton,cuBLAS,cuTLASS
512.000000,3.417639,3.197406,4.703588
1024.000000,6.933591,5.813007,7.575071
1536.000000,10.572601,9.087377,12.351575
2048.000000,13.999680,12.267987,15.725461
2560.000000,18.133657,18.644629,22.741802
3072.000000,22.282370,23.048264,28.243521
3584.000000,24.892523,26.336458,31.366743
4096.000000,27.617035,29.139212,32.515442
4608.000000,30.929876,32.801617,37.722450
5120.000000,34.499886,32.485523,43.776432
5632.000000,38.586208,37.527248,46.770000
6144.000000,41.598396,39.157616,52.556641
6656.000000,44.711342,46.134178,55.048351
7168.000000,49.794098,46.956543,59.858849
7680.000000,53.561314,47.695873,68.468735
8192.000000,58.515839,49.677376,66.062340
